Serial Number,Error Type,Ungrammatical Statement,Standard English
1321,Inappropriate Register,The company's mission is to make a positive impact on society by providin' quality products and services.,The company's mission is to make a positive impact on society by providing quality products and services.
1322,Inappropriate Register,"The construction project is behind schedule, and the contractor needs to get his act together.","The construction project is behind schedule, and the contractor needs to improve his performance."
1323,Inappropriate Register,"The manager encouraged the employees to think outside the box and come up with innovative ideas, y'all.",The manager encouraged the employees to think outside the box and come up with innovative ideas.
1324,Inappropriate Register,"The novel explores complex themes and presents a unique perspective on human relationships, which is super intriguing.","The novel explores complex themes and presents a unique perspective on human relationships, which is quite intriguing."
1325,Ambiguity,She go store buy bread.,She went to the store to buy bread.
1326,Ambiguity,He fastly ran the race.,He ran the race quickly.
1327,Ambiguity,They was late for meeting.,They were late for the meeting.
1328,Ambiguity,I seen a movie last night.,I saw a movie last night.
1329,Ambiguity,The books is on the desk.,The books are on the desk.
1330,Ambiguity,She don't like coffee.,She doesn't like coffee.
1331,Ambiguity,The dog chased it's tail.,The dog chased its tail.
1332,Ambiguity,He has went to the store.,He has gone to the store.
1333,Ambiguity,Their going to the concert.,They're going to the concert.
1334,Ambiguity,The cat had ran away.,The cat had run away.
1335,Ambiguity,The car needs washed.,The car needs to be washed.
1336,Ambiguity,My friend they play basketball.,My friends play basketball.
1337,Ambiguity,He be at the party tonight.,He will be at the party tonight.
1338,Ambiguity,The cake need more sugar.,The cake needs more sugar.
1339,Ambiguity,"She was very tired, however she couldn't sleep.","She was very tired; however, she couldn't sleep."
1340,Ambiguity,"I'm going to the store and then to the bank, grocery shopping, and picking up the kids.","I'm going to the store, then to the bank, grocery shopping, and picking up the kids."
1341,Ambiguity,The boys wants to play soccer.,The boys want to play soccer.
1342,Ambiguity,She must of forgotten her keys.,She must have forgotten her keys.
1343,Ambiguity,The dog layed on the floor.,The dog lay on the floor.
1344,Ambiguity,He could of been a great leader.,He could have been a great leader.
1345,Ambiguity,The computer is slow I need a new one.,The computer is slow; I need a new one.
1346,Ambiguity,The plane it's leaving in two hours.,The plane is leaving in two hours.
1347,Ambiguity,Me and her went to the movies.,She and I went to the movies.
1348,Ambiguity,I should of studied harder.,I should have studied harder.
1349,Ambiguity,The concert was very loud it hurt my ears.,The concert was very loud; it hurt my ears.
1350,Ambiguity,She didn't want to go but she went anyways.,"She didn't want to go, but she went anyway."
1351,Ambiguity,He needs learn to cook.,He needs to learn to cook.
1352,Ambiguity,I wants to see the new movie.,I want to see the new movie.
1353,Ambiguity,The cat hid under the table because the dog barked.,The cat hid under the table because the dog was barking.
1354,Ambiguity,The childrens went to the park.,The children went to the park.
1355,Ambiguity,The girl hair was long and curly.,The girl's hair was long and curly.
1356,Ambiguity,He plays guitar good.,He plays the guitar well.
1357,Ambiguity,She's been to Paris last year.,She went to Paris last year.
1358,Ambiguity,The man who dropped his wallet I returned it to him.,I returned the wallet to the man who dropped it.
1359,Ambiguity,The cake is needing more time to bake.,The cake needs more time to bake.
1360,Ambiguity,He asked can I go to the store?,"He asked, ""Can I go to the store?"""
1361,Ambiguity,She very tired after work.,She was very tired after work.
